state,district,UFI,UFI_Category,demo_update_intensity_normalized,bio_refresh_rate_normalized,age_disparity_normalized,update_enrol_ratio_normalized,temporal_volatility_normalized
Chandigarh,Chandigarh,0.0,,40.95617745704709,0.28945038506599136,4.633337003123227,58.76907294996935,95.20385081546017
Dadra And Nagar Haveli,Dadra And Nagar Haveli,0.0,,3.9452090853361788,2.311860134311367,1.5170506948375877,39.98103198383555,18.34584525874994
Ladakh,Kargil,0.0,,5.303819079210923,1.135171709514776,0.4792275404364773,10.770650267384772,54.538377270958286
Pondicherry,Pondicherry,0.0,,4.9666401871521435,4.375048350449634,0.0077921688797193,24.726729262278795,6.9178837263288635
Gujarat,Sabar Kantha,0.4228718689753077,Low Friction,0.08075963265970636,0.6424950700560426,0.0014706296505737192,0.07542645962623569,10.620286675948117
Telangana,Medchal−Malkajgiri,0.42383974381664025,Low Friction,2.1821607927814632,1.088168699893939,0.28864946530795577,3.2601867067723154,6.278800872753723
Bihar,Pashchim Champaran,0.42733785761009146,Low Friction,0.010706231215613529,0.46431782924130943,0.0007976311142526512,0.0,15.198909476112988
Gujarat,Banas Kantha,0.5572894397778536,Low Friction,0.0,0.5695173927305717,9.979228456434265e-05,0.0023510750604350764,12.62642874856289
Kerala,Kasargod,0.8400645899210808,Low Friction,5.1400185345042955,1.1231495464825216,0.0005083706670430902,6.656337784589658,9.617308974821155
Assam,Dima Hasao,1.1171220809106135,Low Friction,0.5465215986818001,1.319442884977497,0.005483951708184432,0.24604570128958547,12.029889837932416
Tamil Nadu,Thiruvallur,1.280769729511276,Low Friction,1.500130071628067,2.4537643482346305,0.08275094313270161,3.092807312956125,12.974900583446711
Himachal Pradesh,Kullu,1.6905481167008831,Low Friction,7.861081494403516,0.6759613140371049,0.06376590533933472,24.992048604363408,26.58129224239972
Gujarat,Panch Mahals,1.9734691561264064,Low Friction,0.07813192905541162,0.470972832633626,0.0013358906686995338,0.06386232431765752,18.964461995721628
Gujarat,Surendranagar,2.0834962873860663,Low Friction,0.23254076431905818,0.856692076792216,0.0050909758392433824,0.17948674430311992,16.926945131980204
Karnataka,Bagalkot *,2.546856717312113,Low Friction,3.4535923183102084,1.1012926122212094,0.006714454134841856,8.050292611993406,13.394480695477856
Gujarat,Ahmadabad,2.5794285605812792,Low Friction,0.4805962428097014,5.5289435236230595,0.014975659416314121,1.4443926976188264,9.72158842820791
Uttar Pradesh,Barabanki,2.7690946218727954,Low Friction,1.001148751059496,3.188872349226872,0.05082275885724861,1.2956598843834735,10.648867289185342
Nagaland,Longleng,3.5714259932958465,Low Friction,0.19523513620463678,0.49245140496557915,0.004759634889535955,2.1126316029864944,10.87650422684554
Jammu And Kashmir,Kargil,3.5964403875103153,Low Friction,5.704955626575554,0.5300847370994604,0.005111639124664041,8.916314519741524,35.39429614555726
Maharashtra,Hingoli,3.8415991233661204,Low Friction,3.481211553523856,3.263969142055867,0.07783002338655355,10.450631457029292,15.394780554570517
