state,district,demo_update_intensity,total_enrollments,bio_refresh_rate,age_disparity,update_enrol_ratio,temporal_volatility,demo_update_intensity_normalized,bio_refresh_rate_normalized,age_disparity_normalized,update_enrol_ratio_normalized,temporal_volatility_normalized,demo_update_intensity_state_norm,bio_refresh_rate_state_norm,age_disparity_state_norm,update_enrol_ratio_state_norm,temporal_volatility_state_norm,UFI,UFI_Category,UFI_weighted
Tamil Nadu,Thiruvarur,528.7280701754386,1824.0,616.0875250773969,847477.0083102493,2821.052631578947,149.9763226859361,9.117081616019718,6.936017637587387,18.464030070501156,21.89290605214119,41.047214289461714,55.16589542866343,26.226099595270874,38.24301964322781,41.42537605978466,50.2632473605262,44.99668627938946,Moderate Friction,2.2681761993534995
Tamil Nadu,Thoothukkudi,467.05882352941177,2380.0,1681.9806218911558,454.74860335195535,4091.344537815126,132.8686322754622,8.051693658241602,18.53612026678292,0.009689877606536414,31.75882242344581,35.38131999988126,47.449805818900934,76.40461462585802,0.012626467573811084,63.16458613126304,41.13098101669274,43.094721681190435,Moderate Friction,2.83447388700382
Tamil Nadu,Tiruchirappalli,394.7889315289841,4951.0,266.0969775250785,1434331.8393760698,3006.261361341143,188.607319446989,6.803170661209962,3.127074430251263,36.69144565137954,23.331357978111072,53.841410273698465,38.40735770916574,9.749770023933003,76.00331109495491,44.59495579465189,70.88488260672598,50.872642796791695,High Friction,6.960631601130736
Tamil Nadu,Tirunelveli,446.5126050420168,4760.0,2007.7825488488727,589.8461538461538,3232.4159663865544,186.7845224898657,7.696740501768122,22.08181898722368,0.012633290400563126,25.0878223068294,53.2377183303309,44.87905181082172,91.74222863021868,0.018724102450901812,48.46526500750169,69.91185428415427,43.68798815431672,Moderate Friction,5.7469897364805185
Tamil Nadu,Tirupattur,510.752688172043,465.0,381.1714306417844,817.1428571428571,1902.7956989247311,191.5294791154291,8.806541815966673,4.379428414100713,0.017585475115062,14.761123144242527,54.80920004434573,52.91680587671821,15.167072371245366,0.02898315082298343,25.710735778631904,72.4447623889241,34.585476106707844,Moderate Friction,0.444445112328842
Tamil Nadu,Tiruppur,871.3804713804715,2970.0,933.2648094080728,1434331.8393760698,4097.6430976430975,233.2544321499876,15.036689229243544,10.38785446895796,48.27497968729876,31.80774115166675,68.62808309981534,98.03874983329351,41.15769562185487,100.0,63.272376879653905,94.71798426475618,84.15054811275726,Very High Friction,6.906926292521462
Tamil Nadu,Tiruvallur,857.5345129301963,5143.0,85.86321917414656,297985.294917097,3814.232937973945,243.14935708314184,14.797488684416235,1.1655924576536425,6.4920814045442645,29.606592801159913,71.90518230662948,96.30633599745408,1.2649957257730962,13.44168294984111,58.42222159865707,100.0,62.285936431497326,High Friction,8.8527448132428
Tamil Nadu,Tiruvannamalai,485.3631284916201,3580.0,488.56352896111855,375452.2222222223,3143.7430167597763,191.0202775844519,8.367915878275667,5.548175416771847,8.179877697739341,24.399130281697307,54.64055763982554,49.74005038996737,20.22271635260851,16.93815669069601,46.94775563022338,72.17294521828342,43.46588655083506,Moderate Friction,4.300341960812202
Tamil Nadu,Vellore,500.0,4788.0,1004.9729199660773,50539.33322774786,2945.050125313283,177.51319904702456,8.620780109520144,11.168253032664854,1.10089846449569,22.855951551705978,50.16714963921838,51.571423696884764,44.53346239828473,2.273196765800152,43.54741395626668,64.96272362955607,40.6135203241743,Moderate Friction,5.3739819072031665
Tamil Nadu,Villupuram,321.53846153846155,2795.0,318.14638213546766,551.1392405063291,2954.633273703041,126.4502885989305,5.537707356989138,3.6935275174078392,0.01178997071397402,22.930380539344963,33.25562939449355,29.242219149126157,12.20007375456301,0.016977063930202808,43.711415690803726,37.70480117978961,27.317780249405267,Moderate Friction,2.110078645767244
Tamil Nadu,Viluppuram,413.4615384615385,2184.0,807.9905092692362,175.0,2806.0439560439563,100.239508711662,7.125755606676446,9.024495664256872,0.00359490685980471,21.77633887813549,24.574883804322972,40.74368442264838,35.260220189043004,0.0,41.16852426946147,23.713209254348737,29.41842857887744,Moderate Friction,1.775593423138547
Tamil Nadu,Virudhunagar,610.6468461229409,2489.0,532.6110421104175,1289875.5395683453,3467.657693852953,221.4829287701128,10.532297175751475,6.027544008819296,28.102705917696657,26.914863161636838,64.72948006343024,65.41561713454243,22.296319049941932,58.21070006308059,52.491087187320176,88.43423107814621,60.740434082199954,High Friction,4.1780555597787945
Telangana,Adilabad,777.2969768820391,1687.0,1264.1236063663366,657.7519379844962,3547.7178423236514,246.8378784064168,13.41131795400077,13.988587048951986,0.014112775062498549,27.536662549327566,73.12678331770134,58.84282471480651,58.30683430520915,0.020442143229860325,94.7092597167786,86.79408182817699,60.913063064298925,High Friction,2.839860090907069
Telangana,Bhadradri Kothagudem,454.8738248391885,2021.0,1900.9363671482613,20977.9680885705,1027.610094012865,173.27997078926995,7.841187586315354,20.91901318899706,0.4568357110167778,7.9638602906880225,48.765147192563276,29.65432907273964,87.69066820763794,1.2951574327355788,18.350334124738172,55.1634213059264,28.57064410142135,Moderate Friction,1.5957239665323353
Telangana,Hanumakonda,958.6956521739132,552.0,81.00269746968003,920.0,2115.036231884058,137.93667791982898,16.545132208651097,1.1126954544065186,0.019826456014680523,16.409521704052388,37.05980553397594,75.26458106104398,3.71523310861345,0.03689332720433621,51.29919974534665,39.965440086689405,42.47018709749638,Moderate Friction,0.6478801513836673
Telangana,Hyderabad,375.5905511811024,17399.0,40.80185607788511,12282.430882590628,1182.4300247140638,270.71964068680165,6.471502539027785,0.6751901479936803,0.26738330888669226,9.166292961014125,81.0361817977386,22.47693044923668,1.860284654465082,0.7496743460997745,23.04135718774087,97.06348643516522,28.011482351583243,Moderate Friction,13.468889911156468
Telangana,Jagitial,460.8139534883721,860.0,13.59116543307923,685.7142857142857,1175.0,125.0154092330277,7.943808290713089,0.37905650660450885,0.014721999521105002,9.10858653770637,32.78041183967223,30.19208021775347,0.6047281337452424,0.02219626001274751,22.81622843891316,34.40916100550295,20.4004747680101,Low Friction,0.484853068964728
Telangana,Jangoan,790.0673400673401,594.0,135.82647149854716,481.9277108433735,1405.050505050505,142.54553131019497,13.63193668852441,1.7093419728573305,0.01028203736389562,10.895308969662644,38.58621123103022,59.99890698687682,6.244913368146097,0.009412446058265425,29.78672777940267,41.9472946786695,32.49801577027077,Moderate Friction,0.5334757874130396
